,iso_code,country,year,Energy Type,Energy Consumption (TwH)
336,OWID_WRL,World,1971,nuclear_consumption,304.734
391,OWID_WRL,World,1971,oil_consumption,28204.844
446,OWID_WRL,World,1971,other_renewable_consumption,77.442
666,OWID_WRL,World,1971,primary_energy_consumption,59265.924
501,OWID_WRL,World,1971,renewables_consumption,3485.959
556,OWID_WRL,World,1971,solar_consumption,0.0
611,OWID_WRL,World,1971,wind_consumption,0.0
7,OWID_WRL,World,1972,biofuel_consumption,0.0
62,OWID_WRL,World,1972,coal_consumption,17154.346
777,OWID_WRL,World,1972,energy_per_capita,16221.962
722,OWID_WRL,World,1972,energy_per_gdp,2.603
117,OWID_WRL,World,1972,fossil_fuel_consumption,58393.68
172,OWID_WRL,World,1972,gas_consumption,10861.368
227,OWID_WRL,World,1972,hydro_consumption,3568.421
282,OWID_WRL,World,1972,low_carbon_consumption,4074.122
337,OWID_WRL,World,1972,nuclear_consumption,422.709
392,OWID_WRL,World,1972,oil_consumption,30377.966
447,OWID_WRL,World,1972,other_renewable_consumption,82.992
667,OWID_WRL,World,1972,primary_energy_consumption,62481.338
502,OWID_WRL,World,1972,renewables_consumption,3651.413
557,OWID_WRL,World,1972,solar_consumption,0.0
612,OWID_WRL,World,1972,wind_consumption,0.0
8,OWID_WRL,World,1973,biofuel_consumption,0.0
63,OWID_WRL,World,1973,coal_consumption,17667.864
778,OWID_WRL,World,1973,energy_per_capita,16823.47
723,OWID_WRL,World,1973,energy_per_gdp,2.571
118,OWID_WRL,World,1973,fossil_fuel_consumption,61790.732
173,OWID_WRL,World,1973,gas_consumption,11376.729
228,OWID_WRL,World,1973,hydro_consumption,3619.474
283,OWID_WRL,World,1973,low_carbon_consumption,4274.992
338,OWID_WRL,World,1973,nuclear_consumption,566.394
393,OWID_WRL,World,1973,oil_consumption,32746.14
448,OWID_WRL,World,1973,other_renewable_consumption,89.125
668,OWID_WRL,World,1973,primary_energy_consumption,66078.908
503,OWID_WRL,World,1973,renewables_consumption,3708.599
558,OWID_WRL,World,1973,solar_consumption,0.0
613,OWID_WRL,World,1973,wind_consumption,0.0
9,OWID_WRL,World,1974,biofuel_consumption,0.0
64,OWID_WRL,World,1974,coal_consumption,17682.065
